taxon_id,rank_level,existing_active,new_active
176584,10.0,True,False
188038,10.0,True,False
182089,20.0,True,False
208113,10.0,True,False
567766,40.0,True,False
60861,5.0,True,False
69466,5.0,True,False
62846,5.0,True,False
77680,10.0,True,False
78345,10.0,True,False
79207,10.0,True,False
96083,10.0,True,False
90708,20.0,True,False
118985,10.0,True,False
105918,10.0,True,False
107222,10.0,True,False
143584,5.0,True,False
148081,10.0,True,False
144641,10.0,True,False
145565,10.0,True,False
143242,10.0,True,False
149974,20.0,True,False
151402,10.0,True,False
151367,10.0,True,False
151465,10.0,True,False
151416,10.0,True,False
150520,10.0,True,False
137876,10.0,True,False
179073,10.0,True,False
180113,10.0,True,False
165952,10.0,True,False
164250,10.0,True,False
168603,10.0,False,True
169399,10.0,True,False
209597,5.0,True,False
206181,10.0,True,False
237425,5.0,True,False
230610,10.0,True,False
227014,10.0,True,False
229133,10.0,True,False
225844,10.0,True,False
228874,10.0,True,False
227955,10.0,True,False
241189,5.0,True,False
256519,10.0,True,False
270299,10.0,True,False
274812,10.0,True,False
273624,10.0,True,False
272412,10.0,True,False
273067,20.0,True,False
264984,10.0,True,False
266778,10.0,True,False
266804,10.0,True,False
267002,10.0,True,False
280452,10.0,True,False
315072,5.0,True,False
312151,5.0,True,False
312584,5.0,True,False
303677,10.0,True,False
334936,5.0,True,False
332687,10.0,True,False
352921,10.0,True,False
371201,10.0,False,True
371230,10.0,True,False
376905,20.0,True,False
376592,20.0,True,False
371596,10.0,True,False
371371,10.0,True,False
360225,20.0,True,False
362002,50.0,True,False
402286,10.0,True,False
389159,10.0,True,False
387846,10.0,True,False
389161,10.0,True,False
422492,20.0,True,False
427826,5.0,True,False
421575,10.0,True,False
420603,20.0,True,False
394297,10.0,True,False
447721,10.0,True,False
479638,20.0,True,False
476434,10.0,True,False
476264,10.0,True,False
451630,10.0,True,False
453408,10.0,True,False
452315,5.0,True,False
454534,10.0,True,False
486267,10.0,True,False
488488,10.0,False,True
480117,10.0,True,False
508211,5.0,True,False
505823,10.0,True,False
509046,10.0,True,False
506885,10.0,True,False
505198,10.0,True,False
501050,10.0,True,False
502368,10.0,True,False
504159,10.0,True,False
498730,10.0,True,False
496843,10.0,True,False
517782,10.0,True,False
512249,5.0,True,False
545636,10.0,True,False
542629,30.0,True,False
544294,10.0,True,False
535752,20.0,True,False
536286,20.0,True,False
536270,20.0,True,False
530780,10.0,True,False
531341,10.0,True,False
531840,10.0,True,False
531904,10.0,True,False
538676,10.0,True,False
559961,10.0,False,True
558380,10.0,True,False
567470,5.0,True,False
578105,15.0,True,False
588209,10.0,True,False
588205,10.0,True,False
609372,10.0,False,True
601177,5.0,True,False
607987,10.0,True,False
611406,10.0,True,False
612100,10.0,True,False
611408,10.0,True,False
611930,10.0,True,False
627964,10.0,True,False
648972,10.0,True,False
650277,10.0,True,False
653601,5.0,True,False
655579,10.0,True,False
673345,10.0,True,False
675109,10.0,True,False
686527,10.0,True,False
665998,10.0,True,False
665999,10.0,True,False
665261,10.0,True,False
716703,10.0,True,False
692108,10.0,True,False
690061,5.0,True,False
697226,10.0,True,False
705834,25.0,True,False
707661,5.0,True,False
708458,5.0,True,False
707643,10.0,True,False
707656,10.0,True,False
707657,10.0,True,False
709041,10.0,True,False
731157,5.0,True,False
731697,5.0,True,False
732992,10.0,True,False
738394,15.0,True,False
727894,5.0,True,False
756993,10.0,True,False
757448,10.0,True,False
757417,10.0,True,False
762027,10.0,True,False
762149,10.0,True,False
762730,10.0,True,False
764574,5.0,True,False
766437,20.0,True,False
767337,15.0,True,False
747450,10.0,True,False
745948,10.0,True,False
744580,10.0,True,False
790648,5.0,True,False
796747,10.0,True,False
792940,5.0,True,False
792907,5.0,True,False
792911,5.0,True,False
792919,5.0,True,False
773624,5.0,True,False
774018,10.0,True,False
787767,10.0,True,False
784784,10.0,True,False
788162,10.0,True,False
785942,24.0,True,False
